,URL,Nom,Genre,Tete,Coeur,Fond
328,https://www.olfastory.com/parfum/si-passione-intense,si-passione-intense,woman,cassis,jasmin,"muscs-blancs, patchouli, vanille, cedre"
329,https://www.olfastory.com/parfum/flor-del-sol,flor-del-sol,woman,"grenade, orange",dahlia,santal
330,https://www.olfastory.com/parfum/coach-dreams,coach-dreams,woman,"bigarade, poire",gardenia,"notes-boisees, ambroxan"
331,https://www.olfastory.com/parfum/1902-amande-tonka,1902-amande-tonka,mixed,"mimosa, aubepine",amande,"feve-tonka, musc"
332,https://www.olfastory.com/parfum/chrome-extreme,chrome-extreme,man,mandarine,,cashmeran
333,https://www.olfastory.com/parfum/salute,salute,woman,"citron, mandarine, pamplemousse","lie-de-vin, feuille-de-vigne, iris","mousse-de-chene, chene"
334,https://www.olfastory.com/parfum/immortelle-corse,immortelle-corse,woman,"citron, abricot",safran,"immortelle, mousse-de-chene"
335,https://www.olfastory.com/parfum/le-male-boule-neige-2019,le-male-boule-neige-2019,man,"lavande, menthe, bergamote","fleur-doranger, cannelle, cumin","cedre, vanille, feve-tonka, santal"
336,https://www.olfastory.com/parfum/classique-boule-neige-2019,classique-boule-neige-2019,woman,"fleur-doranger, bergamote, citron, mandarine","jasmin, tubereuse, ylang-ylang, gingembre","vanille, cedre, cannelle, ambre"
337,https://www.olfastory.com/parfum/scandal-boule-neige-2019,scandal-boule-neige-2019,woman,"orange, mandarine","miel, gardenia, jasmin, fleur-doranger, peche","patchouli, cire-dabeille, caramel, reglisse"
338,https://www.olfastory.com/parfum/ame-toscane,ame-toscane,woman,"bergamote, cassis","iris, peche, freesia","santal, vanille, musc"
339,https://www.olfastory.com/parfum/coeur-battant,coeur-battant,woman,"poire, ambrette, note-marine","jasmin, ylang-ylang, narcisse","mousse-darbre, patchouli"
340,https://www.olfastory.com/parfum/metallique,metallique,woman,"aldehydes, bergamote, poivre-rose","aubepine, mugu, heliotrope","ambrette, baume-perou, vanille, santal"
341,https://www.olfastory.com/parfum/armani-si-nacre-edition-2019,armani-si-nacre-edition-2019,woman,"mandarine, freesia, bergamote, cassis","osmanthus, jasmin, rose, neroli","orcanox, castoreum, vanille, patchouli"
342,https://www.olfastory.com/parfum/boss-bottled-absolute,boss-bottled-absolute,man,"bergamote, pomme, prune","cannelle, bois-de-cachemire","notes-boisees, musc"
343,https://www.olfastory.com/parfum/mon-guerlain-gold-edition-limitee,mon-guerlain-gold-edition-limitee,woman,"lavande, bergamote","jasmin, iris, rose","vanille, santal, feve-tonka, benjoin, reglisse, patchouli"
344,https://www.olfastory.com/parfum/si-passione-red-maestro,si-passione-red-maestro,woman,"poivre-rose, poire, cassis","rose, jasmin, heliotrope","cedre, vanille"
345,https://www.olfastory.com/parfum/y-live-intense,y-live-intense,man,bergamote,"fleur-doranger, geranium","cacao, feve-tonka"
346,https://www.olfastory.com/parfum/oh-ma-biche,oh-ma-biche,woman,"mandarine, pamplemousse","peche, champagne-rose",muscs-blancs
347,https://www.olfastory.com/parfum/amen-ultimate,amen-ultimate,man,bergamote,"fir-balsam, cappuccino",cedre
348,https://www.olfastory.com/parfum/soleil-neige,soleil-neige,mixed,"bergamote, carotte","rose, jasmin, fleur-doranger, fleurs-blanches","labdanum, benjoin, vanille"
349,https://www.olfastory.com/parfum/her-intense,her-intense,woman,"mure, fruits-rouges",jasmin,benjoin
350,https://www.olfastory.com/parfum/boss-scent-her-absolute,boss-scent-her-absolute,woman,"miel, peche",cafe,"vanille, vetiver"
351,https://www.olfastory.com/parfum/k-dolce-gabbana,k-dolce-gabbana,man,"agrumes, orange, citron, ","piment, sauge-sclaree, geranium, lavande","cedre, vetiver, patchouli"
352,https://www.olfastory.com/parfum/boss-scent-absolute,boss-scent-absolute,man,gingembre,maninka,vetiver
353,https://www.olfastory.com/parfum/sauvage-parfum,sauvage-parfum,man,"mandarine, bergamote",santal,"feve-tonka, oliban, vanille"
354,https://www.olfastory.com/parfum/spice-blend,spice-blend,mixed,"rhum, gingembre","poivre-rose, poivre-noir, noix-de-muscade, cannelle, girofle, coriandre","laurier, notes-boisees"
355,https://www.olfastory.com/parfum/joy-dior-intense,joy-dior-intense,woman,"bergamote, neroli","rose, jasmin","feve-tonka, santal, vanille, musc"
356,https://www.olfastory.com/parfum/nina-rouge,nina-rouge,unknown,"cedrat, framboise","gardenia, gingembre","vanille, caramel"
357,https://www.olfastory.com/parfum/memoire-dune-odeur,memoire-dune-odeur,mixed,camomille-romaine,"musc, jasmin","santal, cedre, vanille"
358,https://www.olfastory.com/parfum/linterdit-givenchy-eau-de-toilette,linterdit-givenchy-eau-de-toilette,woman,pavot,"tubereuse, fleur-doranger, musc","vetiver, patchouli"
359,https://www.olfastory.com/parfum/jaipur-bouquet,jaipur-bouquet,woman,"pamplemousse, mangue, cedre","jasmin, iris, rose","bois-de-cachemire, santal, patchouli"
360,https://www.olfastory.com/parfum/libre-yves-saint-laurent,libre-yves-saint-laurent,woman,"mandarine, lavande, cassis, petitgrain","jasmin, lavande, fleur-doranger","vanille, cedre, ambre-gris, musc"
361,https://www.olfastory.com/parfum/la-vie-est-belle-x-atelier-paulin,la-vie-est-belle-x-atelier-paulin,woman,poire,"iris, patchouli","iris, fleur-doranger, jasmin"
362,https://www.olfastory.com/parfum/for-her-eau-de-toilette-narciso-rodriguez,for-her-eau-de-toilette-narciso-rodriguez,woman,"osmanthus, fleur-doranger, bergamote","musc, ambre","vetiver, vanille, patchouli"
363,https://www.olfastory.com/parfum/leau-de-chloe-signature,leau-de-chloe-signature,woman,rose,"rose, magnolia",mousse-de-chene
364,https://www.olfastory.com/parfum/lady-million-million-pac-man,lady-million-million-pac-man,woman,"neroli, citron, framboise","jasmin, fleur-doranger, gardenia","patchouli, miel, ambre"
365,https://www.olfastory.com/parfum/1-million-pac-man,1-million-pac-man,man,"pamplemousse, menthe, mandarine","rose, cannelle, epices","cuir, notes-boisees, ambre, patchouli"
366,https://www.olfastory.com/parfum/narciso-rouge-eau-de-toilette,narciso-rouge-eau-de-toilette,woman,"rose, muguet",musc,"feve-tonka, vetiver, cedre"
367,https://www.olfastory.com/parfum/embruns-dylang,embruns-dylang,man,"sel-de-mer, bergamote","ylang-ylang, jasmin, girofle","patchouli, iris, vanille"
368,https://www.olfastory.com/parfum/eau-de-givenchy-rosee,eau-de-givenchy-rosee,woman,"the, osmanthus, mandarine","jacinthe, jasmin, rose","musc, patchouli"
369,https://www.olfastory.com/parfum/lhomme-prada-water-splash,lhomme-prada-water-splash,man,"neroli, feuille-de-mandarinier, cardamome","gingembre, iris","ambre, santal, cedre"
370,https://www.olfastory.com/parfum/la-femme-prada-water-splash,la-femme-prada-water-splash,woman,"mandarine, feuille-de-mandarinier","frangipanier, magnolia, muguet","santal, note-verte"
371,https://www.olfastory.com/parfum/cool-water-intense-her,cool-water-intense-her,woman,mandarine,"mangoustan, fleurs-exotiques",notes-boisees
372,https://www.olfastory.com/parfum/cool-water-intense,cool-water-intense,man,mandarine,noix-de-coco,ambre
373,https://www.olfastory.com/parfum/mademoiselle-azzaro-leau-tres-charmante,mademoiselle-azzaro-leau-tres-charmante,woman,"cassis, raisin","pivoine, poire","santal, musc"
374,https://www.olfastory.com/parfum/bonbon-pastel,bonbon-pastel,woman,"bergamote, mandarine, cardamome","fleur-doranger, note-marine, neroli","caramel, santal, ambre, musc"
375,https://www.olfastory.com/parfum/soleil-1,soleil-1,woman,"cardamome, mandarine, amande-amere","poire, cafe, lait-chaud, jasmin, caramel, amande","muscs-blancs, praline, santal"
376,https://www.olfastory.com/parfum/cuir-intense,cuir-intense,woman,"osmanthus, ylang-ylang","cuir, musc","cedre, santal, tabac"
377,https://www.olfastory.com/parfum/la-couche-du-diable,la-couche-du-diable,mixed,orange,"labdanum, rose, cannelle","oud, musc, ambre, notes-boisees"
378,https://www.olfastory.com/parfum/repetto-pop,repetto-pop,woman,grenade,"jasmin, pivoine","feve-tonka, cedre"
379,https://www.olfastory.com/parfum/leau-dissey-rose-rose,leau-dissey-rose-rose,woman,"framboise, poivre-rose, poire","rose, osmanthus","ambre, patchouli, bois-de-cachemire"
380,https://www.olfastory.com/parfum/leau-dissey-homme-wood-wood,leau-dissey-homme-wood-wood,man,"pamplemousse, cardamome, elemi","ambroxan, abricot, santal, cedre","vetiver, patchouli, notes-boisees"
381,https://www.olfastory.com/parfum/him-bleu-noir,him-bleu-noir,man,"noix-de-muscade, cardamome",musc,"ebene, cedre, vetiver, ambre"
382,https://www.olfastory.com/parfum/for-him-bleu-noir-eau-de-parfum,for-him-bleu-noir-eau-de-parfum,man,"bergamote, poivre-noir",musc,"cedre, ambre, vetiver, ebene"
383,https://www.olfastory.com/parfum/uomo-born-in-roma,uomo-born-in-roma,man,"notes-minerales, sel-de-mer, feuille-de-violette","sauge-sclaree, gingembre","vetiver, notes-boisees"
384,https://www.olfastory.com/parfum/le-parfum-royal,le-parfum-royal,woman,"notes-solaires, mandarine",rose,"patchouli, vanille, santal"
385,https://www.olfastory.com/parfum/mon-guerlain-intense,mon-guerlain-intense,woman,"lavande, mandarine, bergamote","iris, rose, jasmin, vanille","patchouli, benjoin, reglisse, coumarine, santal"
386,https://www.olfastory.com/parfum/gabrielle-chanel-essence,gabrielle-chanel-essence,woman,"mandarine, pamplemousse, cassis","tubereuse, jasmin, ylang-ylang, fleur-doranger","santal, musc"
